Class ID,Course Code,Status,Capacity,Count,Course Title,Section,Faculty,Type,Day,Start Time,End Time,Room,Department
01393,,Open,40,40,OBJECT ORIENTED PROGRAMMING 2  [FF],FF,-,Lab,Thursday,3:00 PM,5:20 PM,DS0107,FACULTY OF SCIENCE & TECHNOLOGY
01394,,Open,40,38,INVESTMENT & PORTFOLIO MANAGEMENT [A],A,-,Theory,Monday,2:40 PM,4:10 PM,2103,FACULTY OF BUSINESS ADMINISTRATION
01394,,Open,40,38,INVESTMENT & PORTFOLIO MANAGEMENT [A],A,-,Theory,Wednesday,2:40 PM,4:10 PM,2103,FACULTY OF BUSINESS ADMINISTRATION
01395,,Open,40,40,BANK FUND MANAGEMENT [A],A,-,Theory,Sunday,1:00 PM,2:30 PM,2107,FACULTY OF BUSINESS ADMINISTRATION
01395,,Open,40,40,BANK FUND MANAGEMENT [A],A,-,Theory,Tuesday,1:00 PM,2:30 PM,2107,FACULTY OF BUSINESS ADMINISTRATION
01396,,Reserved,40,0,FINANCIAL DERIVATIVES [A],A,-,Theory,Sunday,11:40 AM,4:10 PM,2106,FACULTY OF BUSINESS ADMINISTRATION
01396,,Reserved,40,0,FINANCIAL DERIVATIVES [A],A,-,Theory,Tuesday,11:40 AM,4:10 PM,2106,FACULTY OF BUSINESS ADMINISTRATION
01397,,Open,40,39,OPERATING SYSTEM [A],A,-,Theory,Sunday,12:40 PM,2:40 PM,9406,FACULTY OF SCIENCE & TECHNOLOGY
01397,,Open,40,39,OPERATING SYSTEM [A],A,-,Lab,Tuesday,12:40 PM,3:00 PM,DN0112,FACULTY OF SCIENCE & TECHNOLOGY
01398,,Open,40,36,OPERATING SYSTEM [B],B,-,Theory,Sunday,3:00 PM,5:00 PM,9406,FACULTY OF SCIENCE & TECHNOLOGY
01398,,Open,40,36,OPERATING SYSTEM [B],B,-,Lab,Tuesday,3:00 PM,5:20 PM,DN0111,FACULTY OF SCIENCE & TECHNOLOGY
01399,,Open,40,40,OPERATING SYSTEM [C],C,-,Theory,Monday,12:40 PM,2:40 PM,9403,FACULTY OF SCIENCE & TECHNOLOGY
01399,,Open,40,40,OPERATING SYSTEM [C],C,-,Lab,Wednesday,12:40 PM,3:00 PM,DN0110,FACULTY OF SCIENCE & TECHNOLOGY
01400,,Open,40,40,OPERATING SYSTEM [D],D,-,Theory,Monday,3:00 PM,5:00 PM,9408,FACULTY OF SCIENCE & TECHNOLOGY
01400,,Open,40,40,OPERATING SYSTEM [D],D,-,Lab,Wednesday,3:00 PM,5:20 PM,DN0111,FACULTY OF SCIENCE & TECHNOLOGY
01401,,Open,40,40,OPERATING SYSTEM [E],E,-,Theory,Sunday,10:20 AM,12:20 PM,9208,FACULTY OF SCIENCE & TECHNOLOGY
01401,,Open,40,40,OPERATING SYSTEM [E],E,-,Lab,Tuesday,10:20 AM,12:40 PM,DN0212,FACULTY OF SCIENCE & TECHNOLOGY
01402,,Open,40,40,OPERATING SYSTEM [F],F,-,Theory,Monday,10:20 AM,12:20 PM,9406,FACULTY OF SCIENCE & TECHNOLOGY
01402,,Open,40,40,OPERATING SYSTEM [F],F,-,Lab,Wednesday,10:20 AM,12:40 PM,DS0107,FACULTY OF SCIENCE & TECHNOLOGY
01403,,Open,40,40,OPERATING SYSTEM [G],G,-,Theory,Monday,12:40 PM,2:40 PM,9207,FACULTY OF SCIENCE & TECHNOLOGY
01403,,Open,40,40,OPERATING SYSTEM [G],G,-,Lab,Wednesday,12:40 PM,3:00 PM,DN0212,FACULTY OF SCIENCE & TECHNOLOGY
01404,,Open,40,40,OPERATING SYSTEM [H],H,-,Theory,Wednesday,8:00 AM,10:00 AM,9207,FACULTY OF SCIENCE & TECHNOLOGY
01404,,Open,40,40,OPERATING SYSTEM [H],H,-,Lab,Monday,8:00 AM,10:20 AM,DS0208,FACULTY OF SCIENCE & TECHNOLOGY
